,Minus1_LFQ,Minus2_LFQ,Minus3_LFQ,Plus1_LFQ,Plus2_LFQ,Plus3_LFQ,Minus1,Minus2,Minus3,Plus1,Plus2,Plus3
sp|O15525|MAFG_HUMAN,1899969.2618450092,1976579.9980931212,1808845.9017894915,1916831.3089354713,1793586.822264946,1713177.0473556041,2031307.1951929876,2113211.6967656226,1933884.989777532,676652.9154181905,1917571.0776521019,2436362.465477208
"sp|Q12974|TP4A2_HUMAN,sp|Q93096|TP4A1_HUMAN",896784.6842072677,,,1177471.2845609675,,1418876.9770694491,896784.1531456906,,,1177472.6558588452,,1418876.1368331485
sp|Q96IX5|ATPMK_HUMAN,6069478.716425266,7011418.578697402,5942001.407614951,,5223226.87624402,8455644.436384397,6069489.33354672,7011432.050897772,5942008.644131939,,5223214.914587281,8455625.072202321
sp|P10619|PPGB_HUMAN,3613582.3206714834,7298684.666655528,6277425.618995883,5182757.278745573,5624351.31488357,5049740.678453466,3273714.920363487,6612224.522821174,5687023.873990132,6757502.590258545,5095375.223134656,5620700.747837507
sp|P43378|PTN9_HUMAN,696943.1944112784,565053.887979853,683116.9951642622,524872.3611726325,679212.2036883563,,696942.7676321893,565054.1367689878,683117.108914158,524871.9725440472,679212.6565570007,
sp|Q9UMX5|NENF_HUMAN,6886665.181842938,5938189.883309534,6838422.287230109,5348305.783397581,5925187.387857734,7078179.592173716,4766509.120310833,9298167.748006184,6349025.603412129,3701759.7595379273,4954400.969595352,8945086.914949194
sp|Q99470|SDF2_HUMAN,1296454.9052623464,1036823.0431103592,,1392674.9925779367,,1166215.3907361154,1296456.033541293,1036822.1156839103,,1392673.746845956,,1166216.4356155992
sp|Q99519|NEUR1_HUMAN,956747.7119590259,,1277002.8581806477,685562.6288049155,,,956747.8213143706,,1277002.7870252708,685562.5906049481,,
sp|Q14185|DOCK1_HUMAN,881055.8760212095,1370460.4369923547,,536063.3514461578,,,604180.6559151456,1815795.9297332305,,367603.07881134603,,
sp|Q96A35|RM24_HUMAN,1823764.1800663527,1230196.0264454708,1510010.8180537438,1884139.9485687546,1867043.3581540412,1785461.390537124,430273.08744873246,3464079.606113092,3737552.7908159895,444516.0871184551,1602957.3806465364,421236.7696826807
sp|Q7Z5G4|GOGA7_HUMAN,1957526.3353871733,2064183.4383447517,2029025.102906949,,1581995.263643315,,1527456.2735526366,2560020.920146968,1583246.6174610255,,1962006.3291215594,
sp|Q14671|PUM1_HUMAN,4712279.598110622,4252424.95857644,3230096.5065454217,3301428.909286094,,3476530.4430845557,2295354.450409872,2659786.069252038,3738060.8387377425,4465514.002724114,1660679.4482597176,4153365.606219647
sp|Q9P003|CNIH4_HUMAN,7372700.790548389,6997606.320140248,9224771.950105669,6963530.958871208,7318700.896675327,8143315.598700821,4771586.150637868,10811561.390231835,5495830.008579157,4506775.58776481,4736636.793657954,15698236.58417004
sp|Q13564|ULA1_HUMAN,2745782.5630127424,2271379.2644879594,2427857.3466750686,1747728.940965451,2057210.0496028147,2255433.312708737,1031464.1251453629,2790395.940617608,2999176.314627801,727499.824425862,2853926.0339811104,3102929.238655028
sp|Q9NP66|HM20A_HUMAN,1731483.8545394482,1571077.1212979564,1784591.7239300383,1758656.1016616477,,1506107.305782223,1408299.671379074,3723518.269667521,1451491.8971539994,543618.771157096,,1224987.497853621
sp|Q9Y676|RT18B_HUMAN,5590285.297321951,5369212.800327129,,4699056.394318243,,6009461.863090862,5590284.306337657,5369216.713073112,,4699055.112205944,,6009460.223441469
sp|Q9UKR5|ERG28_HUMAN,1366545.1660297657,2109266.3943591635,,,2091695.096566062,,1039239.5511092363,1604069.236300579,1333490.9379345174,,1590706.9316106574,
sp|Q6PUV4|CPLX2_HUMAN,3472835.4949447103,4206691.3260457525,3848314.6488896837,3495241.5283403294,4466367.824398433,3457826.2190962313,2541720.5355979693,3078819.6579948682,8026259.662036229,1536926.568615866,5232818.8731276505,2530731.7443425534
sp|Q8N5M4|TTC9C_HUMAN,1865837.0039098053,2488213.677582762,2927571.910383954,2264436.632215359,2552812.5087313317,3477951.411708642,1865831.3061510022,2488214.779618819,2927573.4683524068,2264437.675769142,2552813.2676452915,3477952.646995192
sp|P27105|STOM_HUMAN,2127446.721829659,2829771.486871881,2813398.2985655894,2899708.271490727,2732039.569575238,2825089.5475531425,1583056.7962210851,2105665.04657656,2093481.0793515984,4212960.954986572,2032943.0873996625,4199346.931350761
sp|Q9NYP7|ELOV5_HUMAN,3460829.205679516,3075874.989213269,2999025.459605505,3303335.9357634983,3807074.722870606,,3962939.23685022,3483821.014182008,2729054.518897826,3005970.8796818424,3464354.6635205005,
